2025-10-09 23:30:15.554 ERROR (MainThread) [homeassistant.components.siren] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6msiren_switch already exists - ignoring siren.camera_ext_1
2025-10-09 23:30:15.556 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfeb805b26b9059f70tc0echild_lock already exists - ignoring switch.switchwire_securite_enfants
2025-10-09 23:30:15.556 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfeb805b26b9059f70tc0eswitch_1 already exists - ignoring switch.switchwire_socket_1
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf874bd7de0ee1d22618kschild_lock already exists - ignoring switch.pc_home_assistant_securite_enfants
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf874bd7de0ee1d22618ksswitch_1 already exists - ignoring switch.pc_home_assistant_socket_1
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5c4ed155cf7ac7990axkswitch_1 already exists - ignoring switch.vzbot_socket_1
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocadecibel_switch already exists - ignoring switch.360camera_detection_sonore
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocarecord_switch already exists - ignoring switch.360camera_enregistrement_video
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocabasic_private already exists - ignoring switch.360camera_mode_prive
2025-10-09 23:30:15.557 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocabasic_flip already exists - ignoring switch.360camera_retourner
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocabasic_osd already exists - ignoring switch.360camera_horodater
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocamotion_tracking already exists - ignoring switch.360camera_detection_de_mouvement
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocamotion_switch already exists - ignoring switch.360camera_alarme_de_mouvement
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vrecord_switch already exists - ignoring switch.camera_salon_enregistrement_video
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vbasic_private already exists - ignoring switch.camera_salon_mode_prive
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vbasic_flip already exists - ignoring switch.camera_salon_retourner
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vbasic_osd already exists - ignoring switch.camera_salon_horodater
2025-10-09 23:30:15.558 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vmotion_tracking already exists - ignoring switch.camera_salon_detection_de_mouvement
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf5a5c6f09b753b588f93vmotion_switch already exists - ignoring switch.camera_salon_alarme_de_mouvement
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mdecibel_switch already exists - ignoring switch.camera_ext_1_detection_sonore
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mrecord_switch already exists - ignoring switch.camera_ext_1_enregistrement_video
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mbasic_private already exists - ignoring switch.camera_ext_1_mode_prive
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mbasic_flip already exists - ignoring switch.camera_ext_1_retourner
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mbasic_osd already exists - ignoring switch.camera_ext_1_horodater
2025-10-09 23:30:15.559 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mmotion_tracking already exists - ignoring switch.camera_ext_1_detection_de_mouvement
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bff688ec699db8b172qr6mmotion_switch already exists - ignoring switch.camera_ext_1_alarme_de_mouvement
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjrecord_switch already exists - ignoring switch.piscine_enregistrement_video
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjbasic_private already exists - ignoring switch.piscine_mode_prive
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjbasic_flip already exists - ignoring switch.piscine_retourner
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjbasic_osd already exists - ignoring switch.piscine_horodater
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjmotion_tracking already exists - ignoring switch.piscine_detection_de_mouvement
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf564f95ddbf012efe6qxjmotion_switch already exists - ignoring switch.piscine_alarme_de_mouvement
2025-10-09 23:30:15.560 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfd9769cce61785a12izp4switch_1 already exists - ignoring switch.piscine_switch_1
2025-10-09 23:30:15.561 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf4e378001818540e7ry3tswitch_1 already exists - ignoring switch.eclairage_terrasse_switch_1
2025-10-09 23:30:15.561 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf13abb9462bc9348fc18bswitch_1 already exists - ignoring switch.eclairage_cible_switch_1
2025-10-09 23:30:15.561 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bfcb6feee9cad65081a8hodo_not_disturb already exists - ignoring switch.eclairage_isaac_ne_pas_deranger
2025-10-09 23:30:15.561 ERROR (MainThread) [homeassistant.components.switch] Platform tuya does not generate unique IDs. ID tuya.bf8d42b594d7da1ea44dvxrecord_switch already exists - ignoring switch.sonnette_exterieur_enregistrement_video
2025-10-09 23:30:15.612 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysTbww3vMIHFXkCfWZ already exists - ignoring scene.cuisines_off
2025-10-09 23:30:15.612 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysNDmHOA1OSI4nnMmY already exists - ignoring scene.cuisines_on
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysB0gGl6ZUndPLFFGt already exists - ignoring scene.cuisine_on
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysvVgyfTDSQA9Qd3fI already exists - ignoring scene.salon_fort
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysaeY0AGv2cI6OL2fJ already exists - ignoring scene.hexagon_calex_on_off_marche
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysCInjxW1dMwynxmW2 already exists - ignoring scene.spot_moodlight_interrupteur_on
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysE8kkfKAtUTLVHxLD already exists - ignoring scene.hexagon_calex_tdeg_de_couleur_49
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tys1feQ3yF54WjKP9vh already exists - ignoring scene.salon_eteint
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tysKrXBjT8mtdpA5Whi already exists - ignoring scene.salon_eteint_2
2025-10-09 23:30:15.613 ERROR (MainThread) [homeassistant.components.scene] Platform tuya does not generate unique IDs. ID tys5rvL90rLrDDZ0Hkj already exists - ignoring scene.led_switchwire_commutation_allumer
2025-10-09 23:30:16.404 ERROR (MainThread) [habluetooth.scanner] hci0 (E4:5F:01:54:85:E1): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-09 23:30:16.413 ERROR (MainThread) [habluetooth.scanner] hci0 (E4:5F:01:54:85:E1): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-09 23:30:21.461 ERROR (MainThread) [habluetooth.scanner] hci0 (E4:5F:01:54:85:E1): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-09 23:30:26.750 ERROR (MainThread) [habluetooth.scanner] hci0 (E4:5F:01:54:85:E1): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-09 23:30:41.522 ERROR (MainThread) [habluetooth.scanner] hci0 (E4:5F:01:54:85:E1): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
